aerialWonPerGame,ap,assistTotal,goal,manOfTheMatch,minsPlayed,passSuccess,player_name,player_url,team_url,rank,rating,redCard,rgn,shotsPerGame,yellowCard,age,pos_AM(LR),pos_AM(L),pos_M(LR),pos_Midfielder,pos_D(CL),pos_AM(CR),pos_M(R),pos_FW,pos_Forward,pos_D(CR),pos_Goalkeeper,pos_AM(CLR),pos_Defender,pos_M(L),pos_M(C),pos_M(CLR),pos_M(CR),pos_D(L),pos_D(LR),pos_GK,pos_AM(C),pos_D(C),pos_AM(R),pos_DMC,pos_D(R),pos_AM(CL),pos_D(CLR),pos_M(CL),team
0.2,31,16.0,26.0,13.0,2730.0,81.9,Lionel Messi,https://www.whoscored.com/Players/11119,https://www.whoscored.com/Teams/65,1,8.46,0.0,ar,4.8,3.0,29,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Barcelona
0.6,34,12.0,24.0,7.0,3057.0,80.9,Neymar,https://www.whoscored.com/Players/50835,https://www.whoscored.com/Teams/65,2,8.43,0.0,br,3.6,6.0,24,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Barcelona
0.9,21,10.0,19.0,5.0,1741.0,79.9,Gareth Bale,https://www.whoscored.com/Players/13812,https://www.whoscored.com/Teams/52,3,8.12,0.0,gb-wls,3.5,2.0,27,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,Real Madrid
0.4,35,16.0,40.0,8.0,3150.0,73.1,Luis Suárez,https://www.whoscored.com/Players/22221,https://www.whoscored.com/Teams/65,4,8.01,0.0,uy,3.9,6.0,29,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Barcelona
1.6,36,11.0,35.0,8.0,3185.0,79.4,Cristiano Ronaldo,https://www.whoscored.com/Players/5583,https://www.whoscored.com/Teams/52,5,7.99,0.0,pt,6.3,3.0,31,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Real Madrid
0.4,26,7.0,24.0,3.0,1994.0,81.5,Karim Benzema,https://www.whoscored.com/Players/14296,https://www.whoscored.com/Teams/52,6,7.65,0.0,fr,3.6,1.0,28,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Real Madrid
1.3,32,4.0,1.0,3.0,2834.0,82.5,Filipe Luis,https://www.whoscored.com/Players/22152,https://www.whoscored.com/Teams/63,7,7.6,1.0,br,0.3,11.0,31,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,Atletico Madrid
3.0,31,1.0,1.0,6.0,2651.0,78.4,Diego Godín,https://www.whoscored.com/Players/26059,https://www.whoscored.com/Teams/63,8,7.52,1.0,uy,0.8,5.0,30,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,Atletico Madrid
1.5,36,5.0,22.0,8.0,3058.0,78.3,Antoine Griezmann,https://www.whoscored.com/Players/80241,https://www.whoscored.com/Teams/63,9,7.5,0.0,fr,2.4,5.0,25,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Atletico Madrid
0.7,34,14.0,5.0,2.0,2973.0,82.0,Koke,https://www.whoscored.com/Players/80764,https://www.whoscored.com/Teams/63,10,7.49,0.0,es,1.2,4.0,24,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,Atletico Madrid
